1	18	0
2	39	1
3	86	1
4	69	0
5	51	4
6	58	1 2 4
7	87	1 2 3 6
8	42	6 7
9	25	1 2 3 4 6 7 8
10	60	3 4 7
11	19	4 5 6 7 8 9
12	44	8 2 3 5
13	59	1 2 5 6 10 11
14	89	3 4 7 8 9
15	6	9
16	68	2 5 7 8 9 11 12
17	83	1 13
18	38	1 5 8 9 15 16 17
19	88	8 9 10 14 15 18
20	89	3 4 10 14 15 18
21	25	2 3 5 7 10 12 15
22	96	18 6
23	22	4 11 15 16 17
24	31	11 23
25	51	5 6
26	62	3 6 7 13 16 17 18
27	40	5 6 8 10 19 20 23
28	43	1 2 7 16 20 27
29	26	10
30	16	2 3 7 13 20 21 28 29
31	42	25 30
32	12	12 14 15 17 21
33	50	4 11 12 15 19 22 23 28 29 30
34	76	3 10 13 15 17 18 29 30
35	67	7 14 22 24 27 29 31
36	37	5 6 10 12 19 20 23 24
37	86	16 33 2 12
38	90	25 34 27
39	17	5 38
40	60	24 1 21 38
41	55	19 28
42	92	34 37 39 19 20 25 28
43	19	34 18
44	59	31
45	29	10 19 44
46	82	0
47	2	33 4 37 44 15 18 29
48	5	2 11 45 13 46 19 21 24
49	46	2 3 7 8 15 24 27
50	66	28 13
51	15	25 15
52	21	36 38 39 41 42 45 15 50 26
53	70	8 16 42
54	7	0
55	85	3 12 45 16 50 26 27 29
56	33	54
57	54	35 16 52 23 24 29
58	78	49 47
59	53	34 37 14 46 17 21 57 27 30
60	73	1 39 19 53 26 31
61	83	18 28 47
62	79	15
63	47	1 16 21 22 26
64	99	35 16 49 55 61 62
65	41	47 22 24 27 60
66	98	64 6
67	16	64 65 3 36 45 47 53 58
68	54	59 11 54 39
69	17	64 33 43 68
70	66	64 32 69 7 8 40 16 17 51 63
71	30	36 43 45 14 28
72	74	1 36 5 43 20
73	17	38 70 72 43 49 59 30 31
74	64	24 68 37 60
75	83	56 50 12 61
76	32	2 14 19 20 26 31
77	27	32 68 45 14 16 53 62
78	7	65 67 6 14 23 28 63
79	6	70
80	79	3 4 76 47 51 20 57 28 63
81	62	65 1 68 12 23
82	71	65 35 68 8 42 10 48 20 53 23
83	77	65 70 39 72 8 41 18 19 53
84	91	66 39 13 20 56 61
85	68	35 71 41 74 42 24
86	71	9 70 31
87	16	65 39 72 40 42 47 48 80 79 21
88	45	2 6 40 14 83 84 20 53 27
89	9	32 65 67 7 45 19
90	84	1 2 81 22 25
91	97	24 46 39
92	5	35 5 42 43 12 13 46 85 53 23
93	28	69 37 71 7 14 20 88 57 31
94	23	62 6
95	97	65 37 6 45 26
96	69	0
