91;54;77;59;86;63;1;1;1;1;1;1;ÈÑÒÈÍÀ;91;86;77;63;59;54;ËÎÆÜ;ËÎÆÜ;3309
76;87;86;64;55;60;1;1;1;1;1;1;ÈÑÒÈÍÀ;87;86;76;64;60;55;ËÎÆÜ;ËÎÆÜ;
38;81;14;42;33;86;1;1;1;1;1;1;ÈÑÒÈÍÀ;86;81;42;38;33;14;ËÎÆÜ;ËÎÆÜ;
15;94;67;60;59;9;1;1;1;1;1;1;ÈÑÒÈÍÀ;94;67;60;59;15;9;ËÎÆÜ;ËÎÆÜ;
84;6;20;45;92;5;1;1;1;1;1;1;ÈÑÒÈÍÀ;92;84;45;20;6;5;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ;
33;30;80;8;31;37;1;1;1;1;1;1;ÈÑÒÈÍÀ;80;37;33;31;30;8;ËÎÆÜ;ËÎÆÜ;
30;40;81;36;63;83;1;1;1;1;1;1;ÈÑÒÈÍÀ;83;81;63;40;36;30;ËÎÆÜ;ËÎÆÜ;
35;19;94;80;100;41;1;1;1;1;1;1;ÈÑÒÈÍÀ;100;94;80;41;35;19;ËÎÆÜ;ËÎÆÜ;
70;51;85;93;90;19;1;1;1;1;1;1;ÈÑÒÈÍÀ;93;90;85;70;51;19;ËÎÆÜ;ËÎÆÜ;
30;48;19;58;93;83;1;1;1;1;1;1;ÈÑÒÈÍÀ;93;83;58;48;30;19;ËÎÆÜ;ËÎÆÜ;
51;24;81;79;96;57;1;1;1;1;1;1;ÈÑÒÈÍÀ;96;81;79;57;51;24;ËÎÆÜ;ËÎÆÜ;
30;72;95;63;80;88;1;1;1;1;1;1;ÈÑÒÈÍÀ;95;88;80;72;63;30;ËÎÆÜ;ËÎÆÜ;
49;61;73;75;1;69;1;1;1;1;1;1;ÈÑÒÈÍÀ;75;73;69;61;49;1;ËÎÆÜ;ËÎÆÜ;
54;80;6;50;12;17;1;1;1;1;1;1;ÈÑÒÈÍÀ;80;54;50;17;12;6;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ;
11;26;23;46;33;85;1;1;1;1;1;1;ÈÑÒÈÍÀ;85;46;33;26;23;11;ËÎÆÜ;ËÎÆÜ;
19;77;24;33;55;20;1;1;1;1;1;1;ÈÑÒÈÍÀ;77;55;33;24;20;19;ËÎÆÜ;ËÎÆÜ;
56;78;24;48;79;55;1;1;1;1;1;1;ÈÑÒÈÍÀ;79;78;56;55;48;24;ËÎÆÜ;ËÎÆÜ;
100;37;2;78;26;29;1;1;1;1;1;1;ÈÑÒÈÍÀ;100;78;37;29;26;2;ÈÑÒÈÍÀ;ÈÑÒÈÍÀ;
93;85;68;87;66;77;1;1;1;1;1;1;ÈÑÒÈÍÀ;93;87;85;77;68;66;ËÎÆÜ;ËÎÆÜ;
32;28;48;42;78;89;1;1;1;1;1;1;ÈÑÒÈÍÀ;89;78;48;42;32;28;ËÎÆÜ;ËÎÆÜ;
86;79;13;11;31;78;1;1;1;1;1;1;ÈÑÒÈÍÀ;86;79;78;31;13;11;ËÎÆÜ;ËÎÆÜ;
44;93;99;26;24;98;1;1;1;1;1;1;ÈÑÒÈÍÀ;99;98;93;44;26;24;ËÎÆÜ;ËÎÆÜ;
98;89;26;68;10;86;1;1;1;1;1;1;ÈÑÒÈÍÀ;98;89;86;68;26;10;ËÎÆÜ;ËÎÆÜ;
61;80;79;52;22;29;1;1;1;1;1;1;ÈÑÒÈÍÀ;80;79;61;52;29;22;ËÎÆÜ;ËÎÆÜ;
